"pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC5","SubFPC9","SubFPC13","SubFPC18","SubFPC49","SubFPC84","SubFPC85","SubFPC88","SubFPC100","SubFPC133","SubFPC135","SubFPC136","SubFPC137","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC183","SubFPC275","SubFPC279","SubFPC287","SubFPC295","SubFPC302","SubFPC303","SubFPC307"
4.71219827006977,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,5,2,0,11
6.30102999566398,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,7,4,0,12
5.44369749923271,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,5,3,0,12
4.91721462968355,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,5,2,0,11
5.18708664335714,0,3,0,0,3,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,2,0,2,5,3,0,13
4.78251605578609,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,3,0,12
4.64975198166584,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,2,0,0,5,2,0,11
5.58502665202918,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,5,3,0,12
5.56863623584101,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,4,0,12
6.17587416608345,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,4,0,0,0,0,0,1,0,2,7,4,2,17
5.42021640338319,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,4,0,0,0,0,0,1,0,2,7,4,2,18
6.44369749923271,0,0,0,1,0,0,1,0,1,0,2,1,0,0,0,4,0,1,0,0,0,1,0,2,9,5,2,17
6.88272870434424,0,0,0,1,0,0,1,0,1,0,2,1,0,0,0,4,0,1,0,0,0,1,0,2,9,5,2,17
7.95860731484177,0,3,0,1,0,0,1,0,1,0,2,1,0,0,0,4,0,2,0,0,0,0,0,2,7,5,2,17
6.68824613894425,0,0,0,1,3,0,0,0,1,0,2,1,0,0,0,4,0,2,0,0,0,1,0,2,9,6,2,18
7.82390874094432,0,0,0,1,3,0,0,0,1,0,2,1,0,0,0,4,0,2,0,0,0,1,0,2,9,6,2,18
7.23657200643706,0,0,0,1,3,0,0,0,1,0,2,1,0,0,0,4,0,4,0,0,0,1,0,2,9,6,2,18
8.39794000867204,0,0,0,1,3,0,0,0,1,0,2,1,0,0,0,4,0,4,0,0,0,1,0,2,9,6,2,18
5.69897000433602,0,3,0,1,0,0,1,0,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,2,7,7,2,17
6.89619627904404,0,3,0,1,0,0,1,0,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,2,7,7,2,17
6.7619538968712,0,0,0,1,0,0,1,0,1,0,2,1,0,0,0,4,0,0,0,0,0,1,0,2,9,7,2,17
6.97881070093006,0,0,0,1,0,0,1,0,1,0,2,1,0,0,0,4,1,1,0,0,0,1,0,2,9,7,2,17
